Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Patogeno
4;3.56;9.26;5.1;321;976;N;527;217;1
4;3.56;9.26;5.1;316;971;N;522;212;1
4;3.39;9.02;4.9;416;920;N;523;213;1
4;3.39;9.02;4.9;414;918;N;521;211;1
4;3.39;9.02;4.9;413;917;N;520;210;1
4;3.39;9.02;4.9;412;916;N;519;209;1
4;3.39;9.02;4.9;410;914;N;517;207;1
4;3.03;8.62;4.85;127;266;N;539;124;1
4;3.03;8.62;4.85;127;266;N;539;124;1
4;3.03;8.62;4.85;126;265;N;538;123;1
4;3.03;8.62;4.85;125;264;N;537;122;1
4;3.03;8.62;4.85;125;264;N;537;122;1
4;3.03;8.62;4.85;125;264;N;537;122;1
4;3.03;8.62;4.85;124;263;N;536;121;1
4;3.03;8.62;4.85;124;263;N;536;121;1
4;3.03;8.62;4.85;123;262;N;535;120;1
4;3.03;8.62;4.85;123;262;N;535;120;1
4;3.03;8.62;4.85;122;261;N;534;119;1
4;3.03;8.62;4.85;122;261;N;534;119;1
4;3.03;8.62;4.85;122;261;N;534;119;1
4;3.03;8.62;4.85;121;260;N;533;118;1
4;3.03;8.62;4.85;121;260;N;533;118;1
4;3.03;8.62;4.85;120;259;N;532;117;1
4;3.03;8.62;4.85;120;259;N;532;117;1
4;3.03;8.62;4.85;119;258;N;531;116;1
4;3.03;8.62;4.85;119;258;N;531;116;1
4;3.03;8.62;4.85;118;257;N;530;115;1
4;2.92;8.44;4.72;169;112;N;539;183;1
4;2.92;8.44;4.72;167;110;N;537;181;1
4;2.92;8.44;4.72;166;109;N;536;180;1
4;2.92;8.44;4.72;164;107;N;534;178;1
4;2.92;8.44;4.72;164;107;N;534;178;1
4;2.92;8.44;4.72;163;106;N;533;177;1
4;2.92;8.44;4.72;163;106;N;533;177;1
4;2.92;8.44;4.72;163;106;N;533;177;1
4;2.92;8.44;4.72;162;105;N;532;176;1
4;2.92;8.44;4.72;162;105;N;532;176;1
4;2.92;8.44;4.72;162;105;N;532;176;1
4;2.92;8.44;4.72;161;104;N;531;175;1
4;2.92;8.44;4.72;159;102;N;529;173;1
4;3.49;9.19;4.99;423;58;N;526;216;0
4;3.23;8.9;5.01;196;57;N;524;112;0
4;3.5;9.14;5.02;499;55;N;523;213;0
4;3.23;8.65;4.75;503;55;N;530;199;0
4;3.16;8.79;4.89;209;54;N;522;170;0
4;3.23;8.9;5.01;193;54;N;521;109;0
4;3.16;8.79;4.89;209;54;N;522;170;0
4;3.16;8.79;4.89;208;53;N;521;169;0
4;3.23;8.9;5.01;191;52;N;519;107;0
4;3.29;8.95;4.99;313;52;N;521;153;0
4;3.14;8.6;4.82;328;52;N;521;129;0
4;3.14;8.6;4.82;327;51;N;520;128;0
4;3.16;8.79;4.89;206;51;N;519;167;0
4;3.37;8.82;4.76;298;51;N;521;283;0
4;3.16;8.79;4.89;205;50;N;518;166;0
4;3.37;8.82;4.76;296;49;N;519;281;0
4;3.37;8.82;4.76;296;49;N;519;281;0
4;3.37;8.82;4.76;295;48;N;518;280;0
4;3.46;9.08;4.93;469;45;N;525;167;0
4;3.5;9.16;5.02;420;37;N;525;164;0
4;3.5;9.16;5.02;420;37;N;525;164;0
4;2.98;8.47;4.6;706;35;N;522;158;0
4;3.03;8.57;4.78;239;34;N;530;161;0
4;3.03;8.57;4.78;239;34;N;530;161;0
4;3.58;9.18;5.05;873;29;N;524;198;0
4;3.37;8.79;4.76;291;29;N;526;287;0
4;3.37;8.79;4.76;290;28;N;525;286;0
4;3.16;8.53;4.8;564;28;N;528;172;0
4;3.03;8.52;4.71;461;27;N;530;143;0
4;3.03;8.52;4.71;459;25;N;528;141;0
4;3.11;8.52;4.73;658;25;N;525;209;0
4;3.37;8.79;4.76;287;25;N;522;283;0
4;3.39;8.85;4.79;536;25;N;529;211;0
4;3.39;8.85;4.79;535;24;N;528;210;0
4;3.17;8.64;4.87;300;23;N;525;163;0
4;3.11;8.52;4.73;655;22;N;522;206;0
4;3.45;9.02;4.82;433;22;N;532;254;0
4;3.11;8.52;4.73;655;22;N;522;206;0
4;3.26;8.9;4.9;143;22;N;524;126;0
4;3.1;8.61;4.72;635;21;N;527;163;0
4;3.25;8.8;4.87;240;21;N;523;173;0
4;3.38;8.88;4.87;269;21;N;522;234;0
4;3.49;9.17;5.01;492;21;N;523;213;0
4;3.38;8.88;4.87;269;21;N;522;234;0
4;3.1;8.61;4.72;635;21;N;527;163;0
4;3.28;8.73;4.71;404;21;N;521;236;0
4;3.25;8.8;4.87;240;21;N;523;173;0
4;3.11;8.56;4.84;279;20;N;522;145;0
4;3.1;8.61;4.72;634;20;N;526;162;0
4;3.45;9.02;4.82;431;20;N;530;252;0
4;3.04;8.52;4.74;212;20;N;526;145;0
4;3.08;8.58;4.72;565;20;N;525;205;0
4;3.08;8.58;4.72;565;20;N;525;205;0
4;3.1;8.61;4.72;634;20;N;526;162;0
4;2.95;8.34;4.52;473;20;N;527;181;0
4;3.1;8.61;4.72;633;19;N;525;161;0
4;3.26;8.9;4.9;140;19;N;521;123;0
4;3.05;8.5;4.75;246;19;N;521;156;0
4;3.4;8.89;4.87;279;19;N;522;275;0
4;3.14;8.64;4.89;233;19;N;534;182;0
4;3.05;8.5;4.75;246;19;N;521;156;0
4;3.38;8.88;4.87;267;19;N;520;232;0
4;3.2;8.77;4.75;118;19;N;524;200;0
4;3.26;8.86;4.83;77;19;N;529;272;0
4;3.02;8.48;4.66;262;18;N;535;258;0
4;3.05;8.5;4.75;245;18;N;520;155;0
4;3.48;9.19;5.03;421;18;N;527;172;0
4;3.17;8.65;4.83;101;18;N;532;213;0
4;3.48;9.19;5.03;421;18;N;527;172;0
4;3.03;8.43;4.68;534;18;N;526;172;0
4;3.2;8.77;4.75;117;18;N;523;199;0
4;3.28;8.69;4.73;302;17;N;538;282;0
4;3.17;8.68;4.86;194;17;N;533;207;0
4;3.28;8.81;4.9;87;17;N;530;218;0
4;3.2;8.77;4.75;116;17;N;522;198;0
4;3.04;8.52;4.74;209;17;N;523;142;0
4;3.28;8.69;4.73;302;17;N;538;282;0
4;3.02;8.48;4.66;260;16;N;533;256;0
4;3.02;8.48;4.66;260;16;N;533;256;0
