;Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Probabilidad Patogeno
0;4.0;3.56;9.26;5.1;321;976;N;527;217;504.89
1;4.0;3.56;9.26;5.1;316;971;N;522;212;371.59
2;4.0;3.39;9.02;4.9;416;920;N;523;213;131.56
3;4.0;3.39;9.02;4.9;414;918;N;521;211;173.5
4;4.0;3.39;9.02;4.9;413;917;N;520;210;178.04
5;4.0;3.39;9.02;4.9;412;916;N;519;209;136.93
6;4.0;3.39;9.02;4.9;410;914;N;517;207;50.92
7;4.0;3.03;8.62;4.85;127;266;N;539;124;617.78
8;4.0;3.03;8.62;4.85;127;266;N;539;124;617.78
9;4.0;3.03;8.62;4.85;126;265;N;538;123;624.87
10;4.0;3.03;8.62;4.85;125;264;N;537;122;621.83
11;4.0;3.03;8.62;4.85;125;264;N;537;122;621.83
12;4.0;3.03;8.62;4.85;125;264;N;537;122;621.83
13;4.0;3.03;8.62;4.85;124;263;N;536;121;612.94
14;4.0;3.03;8.62;4.85;124;263;N;536;121;612.94
15;4.0;3.03;8.62;4.85;123;262;N;535;120;604.06
16;4.0;3.03;8.62;4.85;123;262;N;535;120;604.06
17;4.0;3.03;8.62;4.85;122;261;N;534;119;595.17
18;4.0;3.03;8.62;4.85;122;261;N;534;119;595.17
19;4.0;3.03;8.62;4.85;122;261;N;534;119;595.17
20;4.0;3.03;8.62;4.85;121;260;N;533;118;586.28
21;4.0;3.03;8.62;4.85;121;260;N;533;118;586.28
22;4.0;3.03;8.62;4.85;120;259;N;532;117;577.39
23;4.0;3.03;8.62;4.85;120;259;N;532;117;577.39
24;4.0;3.03;8.62;4.85;119;258;N;531;116;564.35
25;4.0;3.03;8.62;4.85;119;258;N;531;116;564.35
26;4.0;3.03;8.62;4.85;118;257;N;530;115;504.15
27;4.0;2.92;8.44;4.72;169;112;N;539;183;420.46
28;4.0;2.92;8.44;4.72;167;110;N;537;181;459.99
29;4.0;2.92;8.44;4.72;166;109;N;536;180;479.75
30;4.0;2.92;8.44;4.72;164;107;N;534;178;519.28
31;4.0;2.92;8.44;4.72;164;107;N;534;178;519.28
32;4.0;2.92;8.44;4.72;163;106;N;533;177;525.74
33;4.0;2.92;8.44;4.72;163;106;N;533;177;525.74
34;4.0;2.92;8.44;4.72;163;106;N;533;177;525.74
35;4.0;2.92;8.44;4.72;162;105;N;532;176;495.56
36;4.0;2.92;8.44;4.72;162;105;N;532;176;495.56
37;4.0;2.92;8.44;4.72;162;105;N;532;176;495.56
38;4.0;2.92;8.44;4.72;161;104;N;531;175;464.34
39;4.0;2.92;8.44;4.72;159;102;N;529;173;346.37
40;4.0;3.49;9.19;4.99;423;58;N;526;216;178.38
41;4.0;3.23;8.9;5.01;196;57;N;524;112;-1193.66
42;4.0;3.5;9.14;5.02;499;55;N;523;213;-131.3
43;4.0;3.23;8.65;4.75;503;55;N;530;199;-1375.55
44;4.0;3.16;8.79;4.89;209;54;N;522;170;-908.51
45;4.0;3.23;8.9;5.01;193;54;N;521;109;-1394.7
46;4.0;3.16;8.79;4.89;209;54;N;522;170;-908.51
47;4.0;3.16;8.79;4.89;208;53;N;521;169;-970.41
48;4.0;3.23;8.9;5.01;191;52;N;519;107;-1528.73
49;4.0;3.29;8.95;4.99;313;52;N;521;153;-1110.36
50;4.0;3.14;8.6;4.82;328;52;N;521;129;-1354.14
51;4.0;3.14;8.6;4.82;327;51;N;520;128;-1413.4
52;4.0;3.16;8.79;4.89;206;51;N;519;167;-1094.2
53;4.0;3.37;8.82;4.76;298;51;N;521;283;-1003.76
54;4.0;3.16;8.79;4.89;205;50;N;518;166;-1154.89
55;4.0;3.37;8.82;4.76;296;49;N;519;281;-1002.13
56;4.0;3.37;8.82;4.76;296;49;N;519;281;-1002.13
57;4.0;3.37;8.82;4.76;295;48;N;518;280;-1001.32
58;4.0;3.46;9.08;4.93;469;45;N;525;167;-947.14
59;4.0;3.5;9.16;5.02;420;37;N;525;164;-873.73
60;4.0;3.5;9.16;5.02;420;37;N;525;164;-873.73
61;4.0;2.98;8.47;4.6;706;35;N;522;158;-2461.46
62;4.0;3.03;8.57;4.78;239;34;N;530;161;-13.77
63;4.0;3.03;8.57;4.78;239;34;N;530;161;-13.77
64;4.0;3.58;9.18;5.05;873;29;N;524;198;-1959.39
65;4.0;3.37;8.79;4.76;291;29;N;526;287;-1201.52
66;4.0;3.37;8.79;4.76;290;28;N;525;286;-1191.97
67;4.0;3.16;8.53;4.8;564;28;N;528;172;-2037.93
68;4.0;3.03;8.52;4.71;461;27;N;530;143;-1458.76
69;4.0;3.03;8.52;4.71;459;25;N;528;141;-1447.07
70;4.0;3.11;8.52;4.73;658;25;N;525;209;-1858.13
71;4.0;3.37;8.79;4.76;287;25;N;522;283;-1163.29
72;4.0;3.39;8.85;4.79;536;25;N;529;211;-885.57
73;4.0;3.39;8.85;4.79;535;24;N;528;210;-864.57
74;4.0;3.17;8.64;4.87;300;23;N;525;163;-894.38
75;4.0;3.11;8.52;4.73;655;22;N;522;206;-1803.31
76;4.0;3.45;9.02;4.82;433;22;N;532;254;-16.26
77;4.0;3.11;8.52;4.73;655;22;N;522;206;-1803.31
78;4.0;3.26;8.9;4.9;143;22;N;524;126;-874.99
79;4.0;3.1;8.61;4.72;635;21;N;527;163;-2106.9
80;4.0;3.25;8.8;4.87;240;21;N;523;173;-913.69
81;4.0;3.38;8.88;4.87;269;21;N;522;234;-485.76
82;4.0;3.49;9.17;5.01;492;21;N;523;213;-52.82
83;4.0;3.38;8.88;4.87;269;21;N;522;234;-485.76
84;4.0;3.1;8.61;4.72;635;21;N;527;163;-2106.9
85;4.0;3.28;8.73;4.71;404;21;N;521;236;-728.05
86;4.0;3.25;8.8;4.87;240;21;N;523;173;-913.69
87;4.0;3.11;8.56;4.84;279;20;N;522;145;-1020.76
88;4.0;3.1;8.61;4.72;634;20;N;526;162;-2087.6
89;4.0;3.45;9.02;4.82;431;20;N;530;252;35.06
90;4.0;3.04;8.52;4.74;212;20;N;526;145;-269.92
91;4.0;3.08;8.58;4.72;565;20;N;525;205;-1327.77
92;4.0;3.08;8.58;4.72;565;20;N;525;205;-1327.77
93;4.0;3.1;8.61;4.72;634;20;N;526;162;-2087.6
94;4.0;2.95;8.34;4.52;473;20;N;527;181;-1562.88
95;4.0;3.1;8.61;4.72;633;19;N;525;161;-2068.31
96;4.0;3.26;8.9;4.9;140;19;N;521;123;-1076.02
97;4.0;3.05;8.5;4.75;246;19;N;521;156;-949.31
98;4.0;3.4;8.89;4.87;279;19;N;522;275;-807.98
99;4.0;3.14;8.64;4.89;233;19;N;534;182;-318.6
100;4.0;3.05;8.5;4.75;246;19;N;521;156;-949.31
101;4.0;3.38;8.88;4.87;267;19;N;520;232;-551.33
102;4.0;3.2;8.77;4.75;118;19;N;524;200;-1390.64
103;4.0;3.26;8.86;4.83;77;19;N;529;272;-1344.0
104;4.0;3.02;8.48;4.66;262;18;N;535;258;-1542.42
105;4.0;3.05;8.5;4.75;245;18;N;520;155;-1055.74
106;4.0;3.48;9.19;5.03;421;18;N;527;172;-662.1
107;4.0;3.17;8.65;4.83;101;18;N;532;213;-879.13
108;4.0;3.48;9.19;5.03;421;18;N;527;172;-662.1
109;4.0;3.03;8.43;4.68;534;18;N;526;172;-1818.8
110;4.0;3.2;8.77;4.75;117;18;N;523;199;-1445.77
111;4.0;3.28;8.69;4.73;302;17;N;538;282;-1471.22
112;4.0;3.17;8.68;4.86;194;17;N;533;207;-744.82
113;4.0;3.28;8.81;4.9;87;17;N;530;218;-1207.65
114;4.0;3.2;8.77;4.75;116;17;N;522;198;-1510.91
115;4.0;3.04;8.52;4.74;209;17;N;523;142;-477.95
116;4.0;3.28;8.69;4.73;302;17;N;538;282;-1471.22
117;4.0;3.02;8.48;4.66;260;16;N;533;256;-1552.93
118;4.0;3.02;8.48;4.66;260;16;N;533;256;-1552.93
119;4.0;3.02;8.48;4.66;260;16;N;533;256;-1552.93
120;4.0;3.05;8.5;4.75;243;16;N;518;153;-1267.68
121;4.0;3.21;8.85;4.9;151;16;N;518;169;-1450.16
122;4.0;3.48;9.19;5.03;419;16;N;525;170;-700.88
123;4.0;3.25;8.81;4.82;91;16;N;529;312;-1847.86
124;4.0;3.05;8.5;4.75;243;16;N;518;153;-1267.68
125;4.0;3.03;8.43;4.68;531;15;N;523;169;-1827.09
126;4.0;3.21;8.85;4.9;150;15;N;517;168;-1508.7
127;4.0;3.21;8.82;4.85;147;15;N;533;224;-852.35
128;4.0;3.26;8.9;4.9;136;15;N;517;119;-1354.62
129;4.0;3.24;8.84;4.87;95;14;N;527;218;-1318.32
130;4.0;3.32;8.95;4.94;159;14;N;520;149;-1306.63
131;4.0;3.48;9.19;5.03;417;14;N;523;168;-740.1
132;4.0;3.25;8.81;4.82;89;14;N;527;310;-1825.47
133;4.0;3.17;8.65;4.83;96;13;N;527;208;-1158.19
134;4.0;3.2;8.77;4.75;112;13;N;518;194;-1752.09
135;4.0;3.25;8.81;4.82;88;13;N;526;309;-1814.28
136;4.0;3.21;8.82;4.85;145;13;N;531;222;-847.17
137;4.0;3.32;8.95;4.94;158;13;N;519;148;-1346.02
138;4.0;3.47;9.24;5.06;295;13;N;528;174;-425.06
139;4.0;3.26;8.81;4.96;114;13;N;531;261;-1393.4
140;4.0;3.18;8.83;4.81;88;13;N;530;220;-1196.77
141;4.0;3.24;8.67;4.9;239;12;N;529;201;-818.97
142;4.0;3.19;8.71;4.83;111;12;N;532;158;-211.99
143;4.0;3.48;9.19;5.03;415;12;N;521;166;-822.33
144;4.0;3.19;8.71;4.83;111;12;N;532;158;-211.99
145;4.0;3.37;9.04;4.85;474;12;N;528;199;-464.28
146;4.0;3.02;8.48;4.66;256;12;N;529;252;-1573.94
147;4.0;3.12;8.73;4.68;133;12;N;529;219;-1060.67
148;4.0;3.35;8.67;4.89;243;11;N;522;229;-1335.98
149;4.0;3.24;8.8;4.86;139;11;N;533;155;-304.91
150;4.0;3.18;8.83;4.81;86;11;N;528;218;-1307.04
151;4.0;3.28;8.85;4.87;80;11;N;525;132;-702.72
152;4.0;3.26;8.98;4.98;199;11;N;533;158;-690.06
153;4.0;3.24;8.71;4.93;256;10;N;506;149;-1993.33
154;4.0;3.26;8.86;4.92;85;10;N;525;213;-1450.78
155;4.0;3.28;8.85;4.87;79;10;N;524;131;-773.86
156;4.0;3.18;8.78;4.75;89;9;N;521;210;-1672.5
157;4.0;3.18;8.83;4.81;84;9;N;526;216;-1417.31
158;4.0;3.14;8.7;4.74;112;9;N;525;196;-1235.32
159;4.0;3.28;8.85;4.87;77;8;N;522;129;-916.16
160;4.0;3.51;9.22;5.08;405;8;N;522;167;-744.94
161;4.0;3.51;9.22;5.08;404;7;N;521;166;-786.05
162;4.0;3.24;8.84;4.87;88;7;N;520;211;-1684.52
163;4.0;3.24;8.84;4.87;88;7;N;520;211;-1684.52
164;4.0;3.04;8.49;4.72;364;7;N;526;194;-1167.51
165;4.0;3.18;8.78;4.75;86;6;N;518;207;-1846.32
166;4.0;3.24;8.84;4.87;86;5;N;518;209;-1800.4
167;1.85;3.17;8.83;4.76;148;12;N;521;131;-3814.21
168;1.86;3.18;8.84;4.77;147;11;N;520;130;-3821.64
169;1.88;3.2;8.86;4.79;149;13;N;522;132;-3735.57
170;1.88;3.2;8.86;4.79;147;11;N;520;130;-3790.03
171;1.89;3.21;8.87;4.8;149;13;N;522;132;-3717.26
